exercise,gpt-4o-2024-08-06,gpt-3.5-turbo-0125,qwen/qwen3-32b,deepseek-r1-distill-llama-70b,gemma2-9b-it,llama-3.1-8b-instant,llama-3.3-70b-versatile,Iteration
1,0.9917448163032532,0.9524514079093932,0.9909274578094482,0.9544330835342408,0.9922523498535156,0.9498485326766968,0.9903075695037842,1
2,0.9828128814697266,0.9840710163116456,0.9782674312591552,0.9840710163116456,0.984172523021698,0.9812891483306884,0.9840710163116456,1
4,0.9598951935768129,0.9598951935768129,0.9572082757949828,0.9524121880531312,0.9615042209625244,0.952086329460144,0.9959524869918824,1
5,0.9663680195808412,0.9888103008270264,0.9879769682884216,0.9873188138008118,0.9915353059768676,0.9871890544891356,0.9681437015533448,1
6,0.6596989631652832,0.9688650369644164,0.9817500114440918,0.974267840385437,0.9648969173431396,0.9655401706695556,0.9752379059791564,1
7,0.9433369040489196,0.9344674348831176,0.969728708267212,0.9259305000305176,0.9352644681930542,0.9309515953063964,0.9783266186714172,1
8,0.9893280267715454,0.986791491508484,0.99200439453125,0.9944904446601868,0.9873005747795104,0.9913240671157836,0.9914811849594116,1
9,0.9933086037635804,0.9639747142791748,0.9896596670150756,0.9931707978248596,0.9615259170532228,0.970166563987732,0.9933326840400696,1
10,0.9925346970558168,0.9843956232070924,0.98838609457016,0.9885435104370116,0.9942015409469604,0.9858163595199584,0.989459216594696,1
11,0.9528282284736632,0.9464760422706604,0.9432108998298644,0.9690700769424438,0.955539345741272,0.9597961902618408,0.9591670036315918,1
12,0.7825966477394104,0.8964588046073914,0.7825966477394104,0.9825887680053712,0.9730404615402222,0.9899585843086244,0.9937728047370912,1
13,0.9649065732955932,0.9365290403366088,0.9684128761291504,0.961215078830719,0.9813199043273926,0.9834661483764648,0.9895538091659546,1
14,0.9878653287887572,0.9664459228515624,0.990407407283783,0.9690181016921996,0.9658541679382324,0.965402901172638,0.9888761639595032,1
15,0.9411988258361816,0.929839849472046,0.964335799217224,0.9410365223884584,0.9720797538757324,0.9421612024307252,0.9827347993850708,1
16,0.9733545780181884,0.9297041893005372,0.966383159160614,0.9558306336402892,0.974332332611084,0.9563958644866944,0.9882707595825196,1
17,0.96231871843338,0.9592535495758056,0.9566311240196228,0.9514443874359132,0.9521826505661012,0.9676436185836792,0.995151698589325,1
18,0.9672796726226808,0.8930982947349548,0.9695032835006714,0.8895995020866394,0.9693989157676696,0.9717782735824584,0.9903756976127625,1
19,0.8700248003005981,0.8562723398208618,0.9545083045959472,0.8396093249320984,0.8134496212005615,0.8476654887199402,0.9503507614135742,1
20,0.9676367044448853,0.8396709561347961,0.9544775485992432,0.95809805393219,0.9477211236953736,0.9527084231376648,0.9753233790397644,1
21,0.971915602684021,0.9010250568389891,0.9639855027198792,0.9407358765602112,0.968064546585083,0.9722439646720886,0.973042607307434,1
22,0.9526727795600892,0.9523472785949708,0.950761079788208,0.9696946740150452,0.950862467288971,0.9799164533615112,0.97173810005188,1
23,0.9586368799209596,0.9678540825843812,0.973701238632202,0.973108172416687,0.9520741105079652,0.9657925367355348,0.966969668865204,1
